card,filename,links_considered,links_used,link_credits,creator
Attack,Attack,https://www.freepik.com/free-vector/ancient-greek-spartan-roman-warrior-gladiator-with-sword-shield_15421170.htm,https://www.freepik.com/free-vector/ancient-greek-spartan-roman-warrior-gladiator-with-sword-shield_15421170.htm,"<a href=""https://www.freepik.com/vectors/man"">Man vector created by upklyak - www.freepik.com</a>",upklyak
Destroy,Destroy,https://www.freepik.com/free-vector/medieval-cannons-with-cannonballs-flat-illustration-set-cartoon-metal-wooden-weapon-old-ships-firing-battle-isolated-vector-illustration-collection-history-destruction-war-concept_10613221.htm,https://www.freepik.com/free-vector/medieval-cannons-with-cannonballs-flat-illustration-set-cartoon-metal-wooden-weapon-old-ships-firing-battle-isolated-vector-illustration-collection-history-destruction-war-concept_10613221.htm,"<a href=""https://www.freepik.com/vectors/cartoon"">Cartoon vector created by pch.vector - www.freepik.com</a>",pch.vector
Capture,Capture,https://www.freepik.com/free-vector/medieval-decorative-icons-set_3862010.htm,https://www.freepik.com/free-vector/medieval-decorative-icons-set_3862010.htm,"<a href=""https://www.freepik.com/vectors/vintage"">Vintage vector created by macrovector - www.freepik.com</a>",macrovector
Backstab,Backstab,"https://www.freepik.com/free-vector/swords-knives-daggers-sharp-blades-flat-icon-set-isolated-vector-illustration_1158787.htm, https://www.freepik.com/free-vector/set-icon-cartoon-weapons_10154697.htm",https://www.freepik.com/free-vector/set-icon-cartoon-weapons_10154697.htm,"<a href=""https://www.freepik.com/vectors/icons"">Icons vector created by macrovector - www.freepik.com</a>",macrovector
Heist,Heist,https://www.freepik.com/free-vector/criminals-police-officers-set-burglar-with-money-prisoners-orange-striped-uniforms-jail-security-policeman-with-gun-isolated-vector-illustrations-crime-justice_10172568.htm,https://www.freepik.com/free-vector/criminals-police-officers-set-burglar-with-money-prisoners-orange-striped-uniforms-jail-security-policeman-with-gun-isolated-vector-illustrations-crime-justice_10172568.htm,"<a href=""https://www.freepik.com/vectors/orange"">Orange vector created by pch.vector - www.freepik.com</a>",pch.vector
Sabotage,Sabotage,"https://www.freepik.com/free-vector/wild-west-flat-composition-with-horse-wagon-near-campfire_11406837.htm,https://www.freepik.com/free-vector/wild-west-cowboy-design-concept-with-compositions-flat-icons-text-images-vintage-stuff-vector-illustration_12026087.htm",https://www.freepik.com/free-vector/wild-west-cowboy-design-concept-with-compositions-flat-icons-text-images-vintage-stuff-vector-illustration_12026087.htm,"<a href=""https://www.freepik.com/vectors/technology"">Technology vector created by macrovector_official - www.freepik.com</a>",macrovector_official
Spy,Spy,https://www.freepik.com/free-vector/nfc-technology-use-flat-vector-banner-template_4146422.htm,https://www.freepik.com/free-vector/nfc-technology-use-flat-vector-banner-template_4146422.htm,"<a href=""https://www.freepik.com/vectors/banner"">Banner vector created by teravector - www.freepik.com</a>",teravector
Defend,Defend,https://www.freepik.com/free-vector/ancient-greek-spartan-roman-warrior-gladiator-with-sword-shield_15421170.htm,https://www.freepik.com/free-vector/ancient-greek-spartan-roman-warrior-gladiator-with-sword-shield_15421170.htm,"<a href=""https://www.freepik.com/vectors/man"">Man vector created by upklyak - www.freepik.com</a>",upklyak
Goody Bag,Goody Bag,"https://www.freepik.com/free-vector/knight-seamless-pattern_2868985.htm,https://www.freepik.com/free-vector/treasury-icons-pile-golden-coins-jewelry-gem-cartoon-set-treasure-chest-bag-wooden-barrel-full-gold-goblet-crown-scepter-dagger_10654711.htm",https://www.freepik.com/free-vector/treasury-icons-pile-golden-coins-jewelry-gem-cartoon-set-treasure-chest-bag-wooden-barrel-full-gold-goblet-crown-scepter-dagger_10654711.htm,"<a href=""https://www.freepik.com/vectors/gold"">Gold vector created by upklyak - www.freepik.com</a>",upklyak
Goody Bag+,Goody Bag Plus,"https://www.freepik.com/free-vector/isometric-treasure-chests-animation-set_9509869.htm,https://www.freepik.com/free-vector/treasury-icons-pile-golden-coins-jewelry-gem-cartoon-set-treasure-chest-bag-wooden-barrel-full-gold-goblet-crown-scepter-dagger_10654711.htm",https://www.freepik.com/free-vector/treasury-icons-pile-golden-coins-jewelry-gem-cartoon-set-treasure-chest-bag-wooden-barrel-full-gold-goblet-crown-scepter-dagger_10654711.htm,"<a href=""https://www.freepik.com/vectors/gold"">Gold vector created by upklyak - www.freepik.com</a>",upklyak
Barracks,Barracks,https://www.freepik.com/free-vector/bartender-old-tavern-interior-with-wooden-bar-counter-shelf-with-bottles-lantern-beer-mug_12566932.htm,https://www.freepik.com/free-vector/bartender-old-tavern-interior-with-wooden-bar-counter-shelf-with-bottles-lantern-beer-mug_12566932.htm,"<a href=""https://www.freepik.com/vectors/wood"">Wood vector created by upklyak - www.freepik.com</a>",upklyak
Spell Tower,Spell Tower,https://www.freepik.com/free-vector/pink-magic-castle_10385773.htm,https://www.freepik.com/free-vector/pink-magic-castle_10385773.htm,"<a href=""https://www.freepik.com/vectors/tree"">Tree vector created by upklyak - www.freepik.com</a>",upklyak
Farm,Farm,https://www.freepik.com/free-vector/old-windmills-vintage-stone_13875696.htm,https://www.freepik.com/free-vector/old-windmills-vintage-stone_13875696.htm,"<a href=""https://www.freepik.com/vectors/food"">Food vector created by upklyak - www.freepik.com</a>",upklyak
Fort,Fort,https://www.freepik.com/free-vector/carnival-funfair-with-circus-roller-coaster_7198588.htm,https://www.freepik.com/free-vector/carnival-funfair-with-circus-roller-coaster_7198588.htm,"<a href=""https://www.freepik.com/vectors/vintage"">Vintage vector created by upklyak - www.freepik.com</a>",upklyak
Black Hole,Black Hole,https://www.freepik.com/free-vector/various-magic-balls-flat-icon-set_9650992.htm,https://www.freepik.com/free-vector/various-magic-balls-flat-icon-set_9650992.htm,"<a href=""https://www.freepik.com/vectors/heart"">Heart vector created by pch.vector - www.freepik.com</a>",pch.vector
Blood Magic,Blood Magic,https://www.freepik.com/free-vector/various-magic-balls-flat-icon-set_9650992.htm,https://www.freepik.com/free-vector/various-magic-balls-flat-icon-set_9650992.htm,"<a href=""https://www.freepik.com/vectors/heart"">Heart vector created by pch.vector - www.freepik.com</a>",pch.vector
Nullify,Nullify,https://www.freepik.com/free-vector/various-magic-balls-flat-icon-set_9650992.htm,https://www.freepik.com/free-vector/various-magic-balls-flat-icon-set_9650992.htm,"<a href=""https://www.freepik.com/vectors/heart"">Heart vector created by pch.vector - www.freepik.com</a>",pch.vector
Barrier,Barrier,https://www.freepik.com/free-vector/various-magic-balls-flat-icon-set_9650992.htm,https://www.freepik.com/free-vector/various-magic-balls-flat-icon-set_9650992.htm,"<a href=""https://www.freepik.com/vectors/heart"">Heart vector created by pch.vector - www.freepik.com</a>",pch.vector
Oracle,Oracle,https://www.freepik.com/free-vector/various-magic-balls-flat-icon-set_9650992.htm,https://www.freepik.com/free-vector/various-magic-balls-flat-icon-set_9650992.htm,"<a href=""https://www.freepik.com/vectors/heart"">Heart vector created by pch.vector - www.freepik.com</a>",pch.vector
The Crown,The Crown,"https://www.freepik.com/free-vector/flat-selection-nine-gold-crowns_1112033.htm,https://www.freepik.com/free-vector/castle-room-cartoon-illustration_5505477.htm,https://www.freepik.com/free-vector/queen-palace-medieval-throne-room-interior-royal-family-cartoon-character-monarchy-person-gold_19394392.htm",https://www.freepik.com/free-vector/queen-palace-medieval-throne-room-interior-royal-family-cartoon-character-monarchy-person-gold_19394392.htm,"<a href=""https://www.freepik.com/vectors/gold"">Gold vector created by upklyak - www.freepik.com</a>",upklyak
Usurper,Usurper,"https://www.freepik.com/free-vector/royal-crowns-set_4475749.htm,https://www.freepik.com/free-vector/queen-palace-medieval-throne-room-interior-royal-family-cartoon-character-monarchy-person-gold_19394392.htm",https://www.freepik.com/free-vector/queen-palace-medieval-throne-room-interior-royal-family-cartoon-character-monarchy-person-gold_19394392.htm,"<a href=""https://www.freepik.com/vectors/gold"">Gold vector created by upklyak - www.freepik.com</a>",upklyak
Demon Lord,Demon Lord,"https://www.freepik.com/free-vector/various-horns-set-pairs-antlers-ram-reindeer-moose-cow-deer-antelope-stag-horny-parts-isolated-white_13146709.htm,https://www.freepik.com/free-vector/ancient-stone-altar-with-water-lava-flows_16985317.htm",https://www.freepik.com/free-vector/ancient-stone-altar-with-water-lava-flows_16985317.htm,"<a href=""https://www.freepik.com/vectors/background"">Background vector created by upklyak - www.freepik.com</a>",upklyak
Knight,Knight,"https://www.freepik.com/free-vector/collection-knight-armor-flat-design_1353858.htm,https://www.freepik.com/free-vector/medieval-coat-arms-with-knight-helmet_1311120.htm",https://www.freepik.com/free-vector/medieval-coat-arms-with-knight-helmet_1311120.htm,"<a href=""https://www.freepik.com/vectors/banner"">Banner vector created by iconicbestiary - www.freepik.com</a>",iconicbestiary
Cultist,Cultist,"https://www.freepik.com/free-vector/young-anonymous-hacker-with-flat-design_2753360.htm,https://www.freepik.com/free-vector/queen-palace-medieval-throne-room-interior-royal-family-cartoon-character-monarchy-person-gold_19394392.htm",https://www.freepik.com/free-vector/queen-palace-medieval-throne-room-interior-royal-family-cartoon-character-monarchy-person-gold_19394392.htm,"<a href=""https://www.freepik.com/vectors/gold"">Gold vector created by upklyak - www.freepik.com</a>",upklyak
Health Bar,Health Bar,https://www.freepik.com/free-vector/precious-jewels_3949234.htm,https://www.freepik.com/free-vector/precious-jewels_3949234.htm,"<a href=""https://www.freepik.com/vectors/wedding"">Wedding vector created by macrovector - www.freepik.com</a>",macrovector
Card Back,Card Back,n/a,n/a,n/a,n/a
Card Back Role,Card Back Role,n/a,n/a,n/a,n/a
Card Back Oracle,Card Back Oracle,n/a,n/a,n/a,n/a
Card Back Health Bar,Card Back Health Bar,n/a,n/a,n/a,n/a
